Adress,Price,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Description,Date_entered/renewed,Property_views
"New Priory, Hole in the Wall Road, Donaghmede, Dublin 13","Ä1,000 per month",Double Room,Shared Bathroom,Apartment,1,Immediately,6 Months,1,Yes,Male / Female,"DescriptionA spacious 2 bed apartment shared with 1 person. Double room with shared bathroom, other room has ensuite so you will have majority of use.

Male easy going owner occupied home.

Available for 6 months with potential to extend if both happy to do so. 

All bills included in price.

Apartment located 100 metres from 15 bus route (24 hour service) & 8 min walk to Clongriffin Dart Station. 

Option of 850 per month Mon - Fri or Sun to Thurs.

Please email me some information about yourself and to arrange a viewing.

1 months rent deposit required.",10/04/2023,555
"Highland Drive, Letterkenny, Co. Donegal",Ä100 per week,Double Room,Shared Bathroom,House,1,Immediately,1 Year +,3,No,Male / Female,"DescriptionLovely big house, in a very nice area, close to the Hospital, Optum, Pramerica and town.

Kellys Centra shop and restaurant is only a 2 minute walk away, which is extremely convenient.

The house has 2 living rooms

Broadband included in price

Broadband is ultra speed, 1000mb and unlimited",02/04/2023,"1,413"
"14 Kerrylee, Killeen, Oakpark, Tralee, Tralee, Co. Kerry",From Ä150 to Ä165 per week,"Single, Double & Twin Room",En-suite,House,4,"Jun 3rd, 2023",3 Months,1,No,Male / Female,"Description1 x double bedroom (en-suite), 1 x twin room (en-suite) and 2 x single rooms (both en-suite) available over the summer months, perfect for someone or a group of people looking for a short term stay. 

Close to MTU campus and ETB centre for students looking to come for summer internships/apprenticeships.

Bus route and stop right outside this accommodation, making all of Tralee areas extremely accessible.

All bills included in this price: Internet, bin charges, heating and electricity included in this price also.

Open plan kitchen/dining/living area has all convenient appliances such as dishwasher, washing machine, tumble dryer, etc.

All rooms have bedding provided for each room on arrival. 

Open to short term stays for courses running a few weeks-months.

Please send a WhatsApp to Sarah on 0838244217, thanks a mill",07/04/2023,477
"24 Hollybank Crescent, Clongowen, Kilkenny, Kilkenny, Co. Kilkenny",Ä580 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year +,1,Yes,Female,DescriptionThis is family house .I have 4 bedroom house just want to rent a room to a  female only .and there is some term and conditions I will explain when you ring on my number .Thanks,13/04/2023,110
"183 Sl√É∆í√Ü‚Äô√É‚Ä†√¢‚Ç¨‚Ñ¢√É∆í√¢‚Ç¨¬†√É¬¢√¢‚Äö¬¨, Knocknacarra, Co. Galway",Ä750 per month,Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year,1,No,Male,"DescriptionDouble room available in a bright and spacious apartment overlooking Salthill from the 3rd of April in Sli Gheal, on the Ballymoneen Road, Knocknacarra.

Sli Geal is close to a shopping center, church, schools, gym and on a bus route. 15-minute walk to Silver Strand Beach and 10-minute walk to Cappagh Park and Barna Woods

 No pets. Non-smoking household.
Rent is 50 a month excluding bills.

Email if interested to organize a viewing by appointment.
References required.",08/04/2023,"1,183"
"The Cottage, Lecarrow, Knock, Claremorris, Claremorris, Co. Mayo",Ä320 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year +,1,Yes,Male / Female,"DescriptionRoom in rural cottage in knock
own transport needed 
bills included
please ring if you wish to view",08/04/2023,"1,220"
"Blind Quay, Exchange Street Lower, Temple Bar, Dublin 2","Ä1,046 per month",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year +,2,No,Female,"Description***If the ad is still live, the room is still available***


1. Stunning duplex penthouse loft apartment in the heart of the city centre

2. Super central location in the quieter end of Temple Bar (i.e. away from all the bars and night time noise)

3. Large, open-plan top floor comprising a living space-kitchen combo with large, sunny terraces at both ends (both with panoramic views of the River Liffey and the city skyline)

4. Hammocks on both top floor terraces for sun-lounging

5. Large floor-to-ceiling windows at both ends of the top floor living space with loads of natural light and sun all year round (ideal for houseplants which are very welcome / strongly encouraged)

6. Bright double bedroom including large floor-to-ceiling windows, its own terrace overlooking the River Liffey with stunning views (especially at sunset) and lots of storage space / space for a desk

7. Projector and massive, super comfy L-shaped sofa for hangover days / Netflix nights 

8. All new kitchen / other appliances and whole apt recently painted / refurbed

9. 5-minute walk to St. Stephen's Green, Grafton St., Green and Red Line LUAS, DART, Trinity College, South William St., St. Patrick's Cathedral Park; Dublin Castle etc.

10. 10-minute walk to Grand Canal Dock, Phoenix Park, Google, Facebook, LinkedIn etc.

11. Multiple DublinBikes stands located a few seconds walk away from our building and always plenty of Bleeperbikes in the area, too

12. 1GB Virgin fibre broadband internet

13. Utilities (electricity + internet) average ‚‚‚‚‚‚Äö¨≈°¨≈°¨60/month each

14. Required: 1x month's rent ‚‚‚‚‚‚Äö¨≈°¨≈°¨1,046 + security deposit ‚‚‚‚‚‚Äö¨≈°¨≈°¨1,046

15. You'll be sharing with 2x working professionals (an Irish guy and a Spanish girl) and both into music, film, art, culture, food, life etc. (please tell us a bit about yourself in your response to make sure we're a match!)

16. We'll be holding 1:1 F2F / Zoom viewings ASAP",14/04/2023,"2,798"
"Ballyallinan Castle, Rathkeale, Co. Limerick",From Ä500 to Ä600 per month,Double Room,Shared Bathroom,House,3,Immediately,1 Year,3,No,Male / Female,"DescriptionBungalow House with 3 bedrooms available for ROOM SHARE. The property is located in quite county Limerick countryside between the busy towns of Rathkeale and Newcastlewest and close to Knockaderry area. 
There is no public transport to the property therefore your own transport is necessary. 
5 kms from N21, Limerick to Kerry main route
30 kms from Limerick city",09/04/2023,"1,766"
"Beacon South Quarter, Sandyford, Dublin 18","Ä1,700 per month",Double Room,En-suite,Apartment,1,Immediately,1 Year +,1,No,Male / Female,"DescriptionVery large double room available in Sandyford, Dublin 18. Large double bed, lots of storage, black out curtains and lockable door. Twin sink private ensuite with shower. Spacious living room and kitchen. Robot vacuum cleaner. Surrounded by a host of amenities - large supermarkets, coffee shops, restaurants and gyms within 60 seconds walk. City centre 20 minutes by car and by luas. Stillorgan luas station 5 minutes walk. Apartment has 2 bedrooms and 2 bathrooms. Conceirge for deliveries. Secure underground parking space included. Bills split 50/50. Current tenant is a professional male who works in an office locally. He will remain in the smaller bedroom with exclusive use of the main bathroom. Looking for a clean, friendly and easy going tenant. Ideally 6 month lease to start with the view to extend.",10/04/2023,615
"1 Dodderbrook Dale, Dublin 24, Bohernabreena, Co. Dublin",Ä750 per month,Single Room,Shared Bathroom,House,1,Immediately,1 Year +,3,Yes,Male / Female,"DescriptionBeautiful home in good location.  Large single room with double bed and built in wardrobes.  Use of a large sitting room with full internet, large screen tv.  This would suit a teacher as we are looking for  a Monday - Friday person (who would be going home most weekends).  We have 2 family dogs who are very much part of the family.  A very comfortable family property with a good family feel.   Rent includes all bills.",07/04/2023,"2,501"
"Latchford Green, Ongar, Dublin 15",Ä270 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 47041",07/04/2023,188
"Meadow Court, Stepaside Park, Stepaside, Dublin 18, Stepaside, Dublin 18",Ä600 per month,Single Room,Shared Bathroom,House,1,Immediately,1 Year,2,No,Male / Female,"Description***Please email you details and we will contact you when viewings commence***

Property Partners O'Brien Swaine are proud to present this single bedroom to let. This tastefully decorated mews style house is situated in a much sought after area with easy access to the surrounding suburbs of Leapardstown and Sandyford as well as regular public transport links to Dublin city centre. Its elevated location at the foothills of the Dublin Mountains gives it broad sweeping views over Dublin City and bay.",12/04/2023,"2,700"
"Old Bawn Road, Tallaght, Dublin 24",Ä900 per month,Double Room,En-suite,House,1,"May 1st, 2023",1 Year +,4,No,Male / Female,"DescriptionHi Guys,

Basically, this is a very warm and squeaky clean house
  Nice big Double room with very big bathroom available from now September, in Tallaght, Dublin 24
1GB fibre internet
 Bus service to the city center is essentially at the doorstep. 
Other amenities like park, supermarkets are around
  (Tallaght Square shopping center)
a house is occupied by nice, kind and polite housemates and we looking also for someone nice to fit in our home

  Rent 900 euro + deposit 900 + bills (eletricity&gas) 

email us:
 Please add as much information about yourself as you can and sent to displayed email
Don't hesitate to contact us for viewing the house. 

Thank you
hopefully, you will enjoy staying with us",11/04/2023,"1,316"
"26 James walk Rialto , Dublin 8","Ä1,000 per month",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year +,2,No,Male / Female,"DescriptionNew to the market please see this luxurious apartment in herberton complex,the door step is right on FATIMA LUAS STOP. This is a walking distance to city center.
This area have verity of shops ,Gym
This apartment is only 10years old built and furnished to the best quality possible,very stylised with a great BER rating to save your bills.everything you need is already there",12/04/2023,914
